Proveedor,RUC_PROVEEDOR,División,Departamento,Fecha Proceso,Documento (OC - GR),Marca,Tipo Producto,Tipo Marca,Sucursal Destino,MH,Tarifas S/. CROSS,Tarifas S/. PICK,Tarifas S/. DEV,Unidades CROSS,Unidades PICK,Unidades DEV,Stock S/. CROSS,Stock S/. PICK,Stock S/. DEV,Costo Log S/. CROSS,Costo Log S/. PICK,Costo Log S/. DEV
ADIDAS PERU S.A.C,2034710031,DEPORTES,TEXTIL TERCEROS DEPORTES,21/12/2021,2475055,ADIDAS,PQ,TERCERAS,CD Villa El Salvador,SB,0.17,0.00,,1376,,,51650.62,,,238.60,,
ADIDAS PERU S.A.C,2034710031,DEPORTES,TEXTIL TERCEROS DEPORTES,21/12/2021,2475055,ADIDAS,PQ,TERCERAS,CD Villa El Salvador,FLT,0.17,0.00,,965,,,32037.55,,,167.33,,
ADIDAS PERU S.A.C,2034710031,DEPORTES,TEXTIL TERCEROS DEPORTES,21/12/2021,2475653,REEBOK,FLT,TERCERAS,CD Villa El Salvador,FLT,0.00,0.93,,,43,,,2555.2,,,39.91,
ADIDAS PERU S.A.C,2034710031,DEPORTES,TEXTIL TERCEROS DEPORTES,22/12/2021,2477885,ADIDAS,FLT,TERCERAS,CD Villa El Salvador,FLT,0.22,0.00,,1623,,,111730.14,,,362.97,,
ADIDAS PERU S.A.C,2034710031,DEPORTES,TEXTIL TERCEROS DEPORTES,22/12/2021,2477899,ADIDAS,FLT,TERCERAS,CD Villa El Salvador,FLT,0.00,0.93,,,166,,,7262,,,154.07,
ADIDAS PERU S.A.C,2034710031,DEPORTES,TEXTIL TERCEROS DEPORTES,22/12/2021,2477903,ADIDAS,FLT,TERCERAS,CD Villa El Salvador,FLT,0.00,0.93,,,252,,,9734.06,,,233.88,
ADIDAS PERU S.A.C,2034710031,DEPORTES,TEXTIL TERCEROS DEPORTES,22/12/2021,2475069,ADIDAS,PQ,TERCERAS,CD Villa El Salvador,SB,0.17,0.00,,2795,,,85728.15,,,484.65,,
ADIDAS PERU S.A.C,2034710031,DEPORTES,TEXTIL TERCEROS DEPORTES,22/12/2021,2477934,REEBOK,PQ,TERCERAS,CD Villa El Salvador,SB,0.00,0.17,,,5,,,99.9,,,0.87,
ADIDAS PERU S.A.C,2034710031,DEPORTES,TEXTIL TERCEROS DEPORTES,22/12/2021,2477900,ADIDAS,FLT,TERCERAS,CD Villa El Salvador,FLT,0.22,0.00,,2991,,,125117.14,,,668.91,,
ADIDAS PERU S.A.C,2034710031,DEPORTES,TEXTIL TERCEROS DEPORTES,22/12/2021,2477935,REEBOK,PQ,TERCERAS,CD Villa El Salvador,SB,0.17,0.00,,920,,,19716.6,,,159.53,,
ADIDAS PERU S.A.C,2034710031,DEPORTES,TEXTIL TERCEROS DEPORTES,22/12/2021,2477909,ADIDAS,PQ,TERCERAS,CD Villa El Salvador,SB,0.17,0.00,,1200,,,39012,,,208.08,,
